company_name,date_of_attack,revenue,data_volume,data_description,country,industry
N/A,N/A,N/A,N/A,N/A,N/A,N/A
"On Q Financial, LLC",2024-04-23T05:01:58+05:30,$270 Million,N/A,"Personal Data., Technical data., Accounting, budget, financial data., Contract data and NDA’s., Files from CFO PC., Operational and business files., Email and msg archives.",usa,finance
Instron & ITW Inc,2024-02-21T02:01:58+05:30,> $1 Billion,~ 2 TB,"Blueprints and drawings, Electric datasheet, PCB Datasheet & Drawings, Firmware Source Codes for Hardware, Datasheet of microcontrollers",usa,"manufacturing, testing"
Thompson Davis & Co,2024-08-13T02:01:58+05:30,> $5 Millions,N/A,"Personal Data., Customer data (IRA/SSN/Passport/Driver’s license), Accounting, budget, financial data., Contract data and NDA’s., Files from CFO PC., Operational and business files., Email and msg archives.",usa,finance
Romeo Pitaro Injury & Litigation Lawyers,2024-05-10T02:01:58+05:30,$5 Million,N/A,"Clients personal info, Financial documents, Information on current and closed cases, Contract data and NDA’s., Email and msg archives.",canada,lawyers
Bluebonnet Nutrition,2024-05-17T02:01:58+05:30,$26 Millions,N/A,"Incidents and complaints against products, Accounting, budget, financial data., Contract data and NDA’s., Files from CFO PC., Operational and business files., Email and PST archives.",usa,manufacturing
Panacea Healthcare Services,2024-05-29T02:01:58+05:30,$5M Million,N/A,"Finance data., Employees, clients’ and customers’ confidential data., Business data., Clients’ and customers’ financials and PII., Files from CEO PC., Operational and business files., Internal and external email correspondence.",usa,"accounting, insurance"
Bira 91,2024-04-04T02:01:58+05:30,$343 Millions,1.9 TB,"Finance data, HR data, Recipes and other trade secrets, Indian and International partners’, customers’, and vendors’ data, Milboxes, Internal and external email correspondence with attachments",india,"food, beverages, manufacturing"
Elite Limousine Plus Inc,2024-06-25T02:01:58+05:30,$15.6 Millions,1.8 TB,"Finance data, HR data, Local and international clients’, customers’, and partners’ data, Contracts and confidential agreements, PII data, Mailboxes, internal & external email correspondence, Databases, Source code",usa,transportation
LT Business Dynamics,2024-05-06T02:01:58+05:30,$5 Million,920 Gb,"Personal Data., Accounting, budget, financial data., Contract data and NDA’s., Accidents., Files from CFO PC., Operational and business files., Email and msg archives., Customer audit reports.",usa,accouting
"Pioneer Oil Company, Inc.",2024-04-30T02:01:58+05:30,$20 Million,N/A,"Personal Data., Accounting, budget, financial data., Technical data., Contract data and NDA’s., Accidents., Files from CFO PC., Operational and business files., Email and msg archives.",usa,"mining, energy"
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dobrowski Stafford & Pierce,2024-03-07T02:01:58+05:30,$7 Millions,N/A,"Legal Documentation., Company data relating to legal cases., Personal data., Settlement data., Financial data., Paul Dobrowski personal files., Company email archives.",usa,lawyers
Anniversary Holding,2024-09-09T02:01:58+05:30,$5 Millions,2.9 TB,"Finance data, HR data, Four of AHCLA’s relative companies’ data, Partners, vendors, and customers data, PII and PHI records (including injury reports, health and medical records), Mailboxes, Internal and external email correspondence",usa,conglomerate
Majestic Metals,2024-09-10T02:01:58+05:30,$24.1 Millions,735 GB,"Finance data, HR data, Partners and customers data, Engineering and technologies, Mailboxes, Internal and external email correspondence, Databases",usa,manufacturing
Roncelli Plastics,2024-03-24T02:01:58+05:30,$20 Millions,N/A,"Technology Data., Personal data., Financial data., Customer data., SQL backups., Company e-mail archives., Network user folders., File server data., Docuware archives., Business data such as board meetings, company strategy development, etc., Compliance and training materials.",usa,manufacturing
KC Pharmaceuticals,2024-01-19T02:01:58+05:30,$22.5 Millions,2.5 TB,"Business data., Finance data., Internal email correspondence.",usa,"medicine, pharmacies"
"Atwood & Cherny, P.C.",2024-08-26T02:01:58+05:30,> $5 Millions,N/A,"Clients Personal Data., Employees Personal Data, Accounting Data",us,law
Benson Kearley IFG - Insurance Brokers & Financial Advisors,2024-09-12T02:01:58+05:30,> $20 Millions,N/A,"Customer data banks, Medical, Business, Auto and Cyber insurance policies., Passports and ID’s, Data banks of both companies paperwork with it’s clients, including confidential files, contracts, etc., Operational data., Audit data., Business files., Accounting data., HR Folders., File server data., Network users folders",canada,insurance
GCA Global Cargo Alliance,2024-09-10T02:01:58+05:30,&lt;$5 Millions,1 TB,"Finance data, HR data, Partners and vendors data, Clients and customers private data, Mailboxes, Internal and external email correspondence, Databases",usa,logistics
Consolidated Benefits Resources,2024-04-01T02:01:58+05:30,$5.1 Millions,1.2 TB,"Finance data, HR data, PII records, PHI records, Incidents and injury reports, Partners’ and clients’ private data, Mailboxes, Internal and external email correspondence, SQL databases",usa,insurance
HDI,2024-09-10T02:01:58+05:30,$100 Millions,9.5 TB,"Multiple affiliated companies’ data, Wide companies’ and their projects’ financial data, HR data, Partners and vendors data, Engineering data, Incidents and injuries data, Litigations data, Restricted data, Geological data, Data of projects and business operating in Africa/CIS and EU contries/Brazil/China and other regions, Minerals/graphite/silver/gold and other materials mining fields data, Mailboxes and internal & external email correspondence, Databases",canada,mining
Nikolaus & Hohenadel,2024-06-20T02:01:58+05:30,$15 Millions,388 GB,"Finance data, HR data, Incidents & casefiles, Court and litigations’ data, Exhibits, Clients’ PII & PHI records, Internal and external email correspondence",usa,law
N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Florence Cement Company, Inc.",2024-07-26T02:01:58+05:30,> $16 Millions,N/A,"Operational and business files., Accounting, budget, financial data., Files from CFO PC., Technical data., Personal Data., Contract data and NDA’s., Accidents., Email and msg archives.",usa,contracting
"GMJ & Co, Chartered Accountants",2024-06-07T02:01:58+05:30,&lt;$5M Millions,110 GB,"Contracts and agreements, PII data, Finance data, Internal and external email correspondence",india,accounting
Critchfield & Johnston,2024-06-20T02:01:58+05:30,$9.8 Millions,4.7 TB,"Finance data, HR data, Incidents & casefiles, Court and litigations’ data, Exhibits, PII & PHI records, Internal and external email correspondence, Databases, Data from ‘Heartland Title Agency’ corporate network",usa,law
NSEIT Limited (a subsidiary of the National Stock Exchange of India),2024-01-21T02:01:58+05:30,$50 Millions,> 3 Tb,"Source codes of over 100 company projects, including projects for banks, insurance companies, financial services, etc., SVN repositories., Financial data., HR data., Project data., SQL backups of company partners, including banks (lists with over 1 million bank clients, over 150,000 employees, operations, etc..)., Technical data (company’s network infrastructure, online and network accesses, etc..), Contracts and NDA’s, Data of Vendors and Suppliers",india,it
NOVA Business Law Group,2024-02-20T02:01:58+05:30,$5 Millions,880 Gb,"Personal Data., Customer Data (SSN/Passport/DL), Accounting, budget, financial data., Contract data and NDA’s., Files from CFO PC., Operational and business files., Email and msg archives.",usa,law
N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Battle Lumber Co.,2024-09-09T02:01:58+05:30,$106 Millions,1.1 TB,"Finance data, HR data, Partners and vendors data, Clients and customers data, Engineering, PII and PHI records, Incidents and accidents data, Mailboxes and internal & external email correspondence",usa,manufacturing
Longview Oral & Maxillofacial Surgery,2024-07-02T02:01:58+05:30,&lt; $5 Millions,2.5 TB,"Finance data, HR data, Patients’ PII, PHI, and biometric data, Partners’ and vendors’ private data, Mailboxes and internal & external email correspondence, Databases",usa,dentistry
Mountjoy,2024-06-13T02:01:58+05:30,$71.8 Million,N/A,"Employees personal data., Contract data., Data of clients and suppliers., Plans of municipal buildings and construction information., Accounting and business data., Company strategical plans, board meetings and client leads.",uk,construction
Island Transportation Corp.,2024-08-13T02:01:58+05:30,$98 Millions,N/A,"Business data., Accounting data., Project data., Data of network users folders., Fileserver data., Personal data.",usa,transportation
Center for Digestive Health,2024-06-13T02:01:58+05:30,$6 Millions,N/A,"A physical and medical history examination., Accounting, budget, financial data., Contract data and NDA’s., Accidents., Files from CFO PC., Operational and business files., Email and msg archives.",usa,medical
Chambers Construction,2024-04-10T02:01:58+05:30,$20.9 Millions,4.2 TB,"Finance data, HR data, Clients’, customers’, and partners’ data, Contracts and confidential agreements, Projects and technical data, Mailboxes, Internal and external email correspondence, SQL database",usa,construction
Martinaire Aviation,2024-01-19T02:01:58+05:30,$20 Millions,365 Gb,"Personal Data., Accounting, budget, financial data., Contract data and NDA’s., Personal information of clients., Incidents.",usa,airlines
Greenbox Loans Inc.,2024-02-02T02:01:58+05:30,$21.6 Millions,1 TB,"Finance data., Employees’, clients’ and partners’ confidential data., Internal and external email correspondence., Clients’ financial conditions and personal data.",usa,"brokerage, finance"
P&B Capital Group,2024-04-05T02:01:58+05:30,N/A,N/A,N/A,usa,finance
Mohawk Valley Cardiology PC,2024-08-16T02:01:58+05:30,> $5 Millions,N/A,"Accounting Data., Medical and Personal Data., Pharmaceutical data., Insurance data., Network Users Personal Folders., Files from President PC., Fileserver Data.",usa,healthcare
Texas Centers for Infectious Disease Associates,2024-08-30T02:01:58+05:30,> $8 Millions,N/A,"Accounting Data., Medical and Personal Data., Network Users Personal Folders., Files from President PC., Fileserver Data.",usa,healthcare
Somerset Logistics,2024-01-08T02:01:58+05:30,$40 Million,624 Gb,"Employee data., Company financial data., Sensitive customer data., Files from President PC., Fileserver Data.",usa,logistics
Northeast Spine and Sports Medicine's,2024-02-07T02:01:58+05:30,$7 Million,> 400 Gb,"Accounting, budget, financial data., Contract data and NDA’s., Emploee data., Email and msg archives., Personal Data., Private data of the patients., Network users personal folders.",usa,medical
N/A,N/A,N/A,N/A,N/A,N/A,N/A
PBC Companies,2024-08-16T02:01:58+05:30,> $250 Millions,N/A,Company project data.,usa,design
"Law Offices of Michael J Gurfinkel, Inc",2024-09-11T02:01:58+05:30,&lt; $5 Millions,N/A,"Client’s Personal Data., Accounting, budget, financial data., Files from Top Management PC., Incidents and accidents., Operational and business files., Mailboxes & Internal and external email correspondence.",us,law
"Wayne Wright, LLP.",2024-08-28T02:01:58+05:30,> $5 Millions,N/A,"Personal Data., Accounting, budget, financial data., Contract data and NDA’s., Accidents., Files from CFO PC., Email and msg archives.",usa,law
Stein Fibers,2024-09-10T02:01:58+05:30,$100 Millions,707 GB,"Finance data, HR data, Partners and vendors data, Clients and customers data, Engineering and technologies, Incidents and accidents, Mailboxes & Internal and external email correspondence, Databases",usa,manufacturing
B&B Electric Inc,2024-04-18T02:01:58+05:30,> $40 Millions,750 Gb,"Projects (building plans, building communications), Personal Data., Accounting, budget, financial data., Contract data and NDA’s., Accidents., Files from CFO PC., Operational and business files., Email and msg archives.",usa,construction
Sherr Puttmann Akins Lamb PC,2024-09-17T02:01:58+05:30,> $5 Millions,N/A,"Personal Data., Financial documents., Contract data and NDA’s., Business correspondence., Files from CFO PC., Confidential customer information., Email and msg archives., Database, Court cases",usa,law
Affiliated Dermatologists and Dermatologic Surgeons,2024-05-29T02:01:58+05:30,N/A,N/A,N/A,usa,healthcare
Cislo & Thomas LLP,2024-01-25T02:01:58+05:30,> $7 Millions,3 Tb,"Legal paper work., Client data., Financial data., File server data., Folders of network users, including company management., Personnel data., Email archives.",usa,lawyers
Transit Mutual Insurance Corporation,2024-07-03T02:01:58+05:30,~$2 Millions,N/A,"Business data., Accounting data., Project data., Data of network users folders., Fileserver data., Personal data.",usa,insurance
Akumin,2024-02-03T02:01:58+05:30,> $800+ Millions,~ 5 TB,"Finance data, Patients’ personal data, Health and medical records, Internal email correspondence, Akumin’s software source code, SQL databases",usa,"medicine, radiology, healthcare"
Lindsay Municipal Hospital,2024-03-08T02:01:58+05:30,$13 Millions,N/A,N/A,usa,healthcare
Law Office of Michael H Joseph,2024-02-15T02:01:58+05:30,&lt;$5 Millions,1.9 TB,"Finance data, HR data, Clients’ and customers’ confidential data, Incidents and cases, Court and Police files, Clients’ health and medical records, Internal and external email correspondence, Cases’ images and videos",usa,law
J.P. Original,2024-02-21T02:01:58+05:30,$9 Millions,1.2 TB,"Financial Data, HR data, Clients’ and partners’ data, Business data, Design images, Mailboxes, Internal and external email correspondence",usa,apparel
Fish Nelson & Holden,2024-08-26T02:01:58+05:30,> $5 Millions,N/A,"Medical and lab tests client’s files., Accounting, budget, financial data., Contract data and NDA’s., Accidents., Files from Top management PC., Operational and business files., Email and msg archives.",us,law
Donear Industries,2024-02-03T02:01:58+05:30,$71 Millions,3.5 TB,"Finance data, HR data, Images and drawings, Clients’ and partners’ data, Internal and external email correspondence, SQL databases",india,"apparel, manufacturing"
"Hypertension Nephrology Associates, P.C.",2024-03-07T02:01:58+05:30,&lt;$5M Millions,506 GB,"Finance data, HR data, PHI and PII data, Test results, Mailboxes and email correspondence, SQL databases",usa,medicine
Scott Pharma Solutions,2024-08-27T02:01:58+05:30,> $5 Millions,N/A,"Pharmaceutical data, Fileserver data, Data of network users folders, Medical data",usa,pharmaceutical
ASI,2024-06-27T02:01:58+05:30,$370 Millions,N/A,N/A,usa,it
Pavilion Construction LLC,2024-05-29T02:01:58+05:30,N/A,N/A,N/A,usa,construction
US Dermatology Partners,2024-08-17T02:01:58+05:30,> $210 Millions,N/A,"Personal Data., Accounting, budget, financial data., Contract data and NDA’s., Employees profiles.",usa,healthcare
Augusta Orthopedic,2024-07-23T02:01:58+05:30,$10 Millions,N/A,"Personal Data., Accounting, budget, financial data., Patients medical and personal data., Email and msg archives.",usa,healthcare
Dr. Leeman ENT,2024-03-26T02:01:58+05:30,$5M Millions,480 GB,"Finance data, HR data, PII and PHI records, Patients’ images, Cases, Mailboxes, Internal and external email correspondence with attachments, SQL databases",usa,medicine
Keya Accounting and Tax Services LLC,2024-09-06T02:01:58+05:30,> $5 Millions,N/A,"Personal Data., Accounting, budget, financial data., Clients data: 625 corporate clients, 864 personal clients",usa,tax
M.Royo & KlockMetal,2024-08-27T02:01:58+05:30,> $5 Millions,N/A,"Supply-chain data, Manufacturing data, Fileserver data, Data of network users folders",argentina,metal_works
Azteca Tax Systems,2024-05-20T02:01:58+05:30,&lt; $5 Millions,484 GB,"Finance data, HR data, Clients’ private data, Contracts and agreements, Internal and external email correspondence",usa,tax
Payne & Jones,2024-06-25T02:01:58+05:30,$7.2 Millions,1.65 TB,"Finance data, HR data, Incidents & casefiles, Court and litigations’ data, Exhibits, Clients’ PII & PHI records, Mailboxes & internal and external email correspondence, Databases",usa,"law, legal"
GROWTH by NCRC,2024-04-26T02:01:58+05:30,$5 Million,830 Gb,"Personal Data., Accounting, budget, financial data., Contract data and NDA’s., Files from CFO PC., Operational and business files., Email and msg archives.",usa,investment
Shoma group,2024-03-13T02:01:58+05:30,> $20 Millions,2 Tb,"Accidents., Accounting, budget, financial data., Contract data and NDA’s., Email and msg archives., Files from CFO PC., Personal Data., Investor data, Operational and business files., Technical data.",usa,real_estate
N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Republic Shipping Consolidators, Inc",2024-01-08T02:01:58+05:30,$5 Million,117 Gb,"Accounting, budget, financial data., Email and msg archives., Files from emplee PC., Operational and business files., Personal Data., Technical data.",usa,logistics
Better Business Bureau,2024-08-25T02:01:58+05:30,~ $400 Millions,N/A,"Accounting, budget, financial data., Contract data and NDA’s., Files from CFO PC., Operational and business files., Email and PST archives.",usa,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Karvo Companies, Inc.",2024-08-18T02:01:58+05:30,> $6 Millions,N/A,"Financial documents., Business correspondence., Technical Documents, confidential customer information, confidential employee information., NDA",usa,contracting
Commonwealth Capital,2024-02-02T02:01:58+05:30,$91.1 Millions,2 TB,"Finance data, HR data, Clients’ and partners’ confidential data, Non-disclosure agreements, Secret recipes and other trade secrets, Internal and external email correspondence, SQL databases",singapore,"investment, food"
"Independent Recovery Resources, Inc.",2024-01-07T02:01:58+05:30,&lt; $5 Million,1.1 Tb,"Accounting Data., Network users personal folders., Files from President PC., Clients personal data",usa,finance
Nutec Group,2024-05-31T02:01:58+05:30,$54.1 Million,N/A,"Client lists, Business correspondence, Archived e-mails, Intellectual property of third parties",usa,manufacturing
CTSI,2024-02-09T02:01:58+05:30,$7.9 Millions,978 GB,"Finance data., Employees’ and customers’ confidential data., Projects and other business data., Internal email correspondence.",usa,business
"Legend Properties, Inc.",2024-07-03T02:01:58+05:30,> $29 Millions,N/A,"Business data., Accounting data., Project data., Data of network users folders., Fileserver data., Personal data.",usa,real_estate
Dordt University,2024-07-02T02:01:58+05:30,$36.2 Millions,3 TB,"Finance data, HR data, Databases, Mailboxes and internal & external email correspondence, Incidents, Local and international students’ data, Students’ grades, PII and PHI records, Minors’ data",usa,education
Playa Vista Job Opportunities and Business Services,2024-08-16T02:01:58+05:30,&lt;$5 Millions,950 GB,"Finance data, HR data, Partners’ data, Candidates’, participants’, and members’ PII records and contacts, Mailboxes, Internal and external email correspondence",usa,recruitment
Air Sino-Euro Associates Travel Pte. Ltd,2024-02-02T02:01:58+05:30,$21.8 Millions,736 GB,"Company’s financials, HR data, Clients’ and Partners’ data, Private personal data, Internal and external email correspondence, SQL databases",singapore,"travel, holiday"
Western Saw Inc.,2024-06-02T02:01:58+05:30,$19 Million,N/A,"Confidential Personal Data., Accounting, budget, financial data., Contract data and NDA’s., Files from CEO PC., Engineering files., Email and msg archives., SQL bases.",usa,construction
"Martin's, Inc.",2024-03-26T02:01:58+05:30,$30 Millions,1.4 TB,"Financial data, HR data, PII data, Clients’ private data, Photos and videos, Internal and external email correspondence, SQL databases",usa,catering
Advantage Orthopedic & Sports Medicine Clinic,2024-02-27T02:01:58+05:30,&lt;$5M Millions,600 GB,"Finance data, HR data, Patients’ PII and PHI records, Test results, Mailboxes and email correspondence, SQL databases",usa,medicine
"Palmer Construction Co., Inc",2024-03-07T02:01:58+05:30,> $13 Millions,N/A,"Personal Data., Accounting, budget, financial data., Contract data and NDA’s., Employees profiles., Projects info, drawings",usa,construction
Tandem,2024-02-13T02:01:58+05:30,&lt;$5 Millions,2.1 TB,"Financial data, HR data, Clients’ and partners’ data, Projects, Mailboxes, Internal and external email correspondence",usa,"design, architecture"
Accelon Technologies Private,2024-08-16T02:01:58+05:30,$7.1 Millions,480 GB,"Business data, Partners’ and clients’ financials, Multiple PII records of partners’ and clients’ employees, Internal and external email correspondence, SQL databases, Source code",india,it
Bunkhouse Group,2024-08-30T02:01:58+05:30,$11 Millions,2.7 TB,"Finance data, HR data, Partners’ and vendors’ data, Clients’ private data, Contracts and agreements, Incidents’ reports and images, Mailboxes, Internal and external email correspondence with attachments, Databases",usa,hospitality
Sable International,2024-08-19T02:01:58+05:30,> $7 Millions,N/A,"Personal Data., Accounting, budget, financial data., Business correspondence., Contract data and NDA’s., Operational and business files., Email and msg archives., Confidential information about customers., Individuals and companies from different countries, Databases.",uk,financial
Dragon Tax and Management INC,2024-05-20T02:01:58+05:30,&lt;$5 Millions,334 GB,"Company’s financials, Clients’ financials, HR data, PII data, Contracts and agreements, Internal and external email correspondence",usa,tax
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bay Orthopedic & Rehabilitation Supply,2024-02-10T02:01:58+05:30,$5 Million,> 400 Gb,"Patients personal data., Network users folders., Email archives., File server data.",usa,transportation
Insula Group,2024-07-18T02:01:58+05:30,$5 Millions,N/A,"Project data, Construction data, Details of company clients, Files of network users folders, File server data, Examples of company source codes",australia,it
GRTC Transit System,2024-02-18T02:01:58+05:30,> $100 Millions,1.5 TB,"Personal Data., Accounting, budget, financial data., Technical data., Contract data and NDA’s., Accidents., Files from CEO and CFO PC., Operational and business files., Email archives and databases SQL.",usa,transportation
Neurobehavioral Medicine Consultants,2024-04-30T02:01:58+05:30,> $5 Millions,60 Gb,"Client data., Financial data.",usa,hospitals
TechNet Kronoberg AB,2024-02-21T02:01:58+05:30,&lt;$1M Millions,278 GB,"Financial Data, HR data, Business data, Technical data",sweden,it
Image Craft,2024-04-18T02:01:58+05:30,> $30 Millions,1.9 Tb,"Accounting, budget, financial data., Drawings, Contract data and NDA’s., Personal Data., Users personal folders",usa,printing_services
"Keboda Technology Co., Ltd.",2024-03-27T02:01:58+05:30,$300 Millions,1.2 TB,"Personal data, Chinese customers (e.g. Geely, Zeekr, Hongqi, etc.), International customers (e.g. Volkswagen, BMW, Audi, Ford, Porsche, etc.), Source codes & Developments, Internal and external email correspondence with attachments, SQL databases",china,"automotive, electronics, manufacturing"
CK Associates,2024-09-05T02:01:58+05:30,> $12 Millions,N/A,"Clients and customers data., Finance data., Engineering and technologies., Contract data and NDA’s., Incidents and accidents., Operational and business files., Mailboxes & Internal and external email correspondence.",us,environmental_services
HRTec Inc,2024-03-02T02:01:58+05:30,$5 Millions,N/A,"Personal Data., Accounting, budget, financial data., Technical data., Contract data and NDA’s., Accidents., Files from Top Management PC., Operational and business files., Email and msg archives.",usa,broadcasting
defi SOLUTIONS.,2024-06-05T02:01:58+05:30,$126 Million,N/A,N/A,usa,software
Northern Minerals Limited,2024-06-02T02:01:58+05:30,N/A,N/A,"Operational Data, Strategical data: potential projects, geological and mining researches in various countries, data on research of competitors, R&D data, Financial data, Employees personal data, Corporate email archives including Nick Curtis and Shane Hartwing, Data on shareholders and potential investors",australia,resource_extraction
"Cole, Cole, Easley & Sciba",2024-02-28T02:01:58+05:30,> $5 Millions,1.5 Tb,"Legal paper work., Client data., PHI data., Financial data., File server data., Folders of network users., HR data., Management email archives.",usa,lawyers
MA Engineering,2024-02-09T02:01:58+05:30,> $6 Millions,~ 94 GB,"HR data, Clients’ and customers’ data, Projects’ data, Internal and external email correspondence",usa,engineering
"Western Supplies, Inc",2024-09-03T02:01:58+05:30,> $7 Millions,N/A,"Clients Personal Data., Employees Personal Data, Accounting Data",usa,wholesalers
Studio Legale Associato Isolabella,2024-09-04T02:01:58+05:30,&lt;$5 Millions,1.3 TB,"Finance data, HR data, Incidents & casefiles, Court and litigations’ data, Exhibits, Clients’ PII & PHI records, Mailboxes, Internal and external email correspondence",italy,"law, legal"
"Smart Source, Inc.",2024-09-09T02:01:58+05:30,> $80 Millions,N/A,"NDA, Financial data, Clients data, QuickBooks, Email archive",usa,it
Marchassociates,2024-02-20T02:01:58+05:30,$20 Millions,N/A,"Personal Data., Accounting, budget, financial data., Technical data., Contract data and NDA’s., Accidents., Projects information., Email and msg archives.",usa,construction
MEL aviation Ltd,2024-07-02T02:01:58+05:30,$28 Millions,4.2 TB,"Finance data, HR data, Engineering, developments and technologies, International, governmental and military orders, Mailboxes and internal & external email correspondence, Source code, Databases",uk,engineering
"Chaney, Couch, Callaway, Carter & Associates Family Dentistry.",2024-02-02T02:01:58+05:30,$&lt;5 Millions,245 GB,"Finance data, HR, Partners’ and patients’ confidential data, Patients’ images, Medical records",usa,dentistry
Clinica de Salud del Valle de Salinas,2024-06-20T02:01:58+05:30,$27 Millions,1.7 TB,"Finance data, HR data, Patients’ and partners’ confidential data, PII and PHI data, Test results and images, Internal and external email correspondence, Databases",usa,medicine
Central Carolina Insurance Agency Inc.,2024-06-13T02:01:58+05:30,$6 Million,N/A,"Personal Data., Accounting, budget, financial data., Contract data and NDA’s., Files from CFO PC., Operational and business files., Email and msg archives.",usa,insurance
Len Dubois Trucking,2024-06-09T02:01:58+05:30,$26 Million,N/A,"Personal data of employees., Personal data of customers., Contract data and NDA’s., Accounting, budget, financial data., Accidents., Files from CFO PC., Operational and business files., Email and msg archives.",canada,logistics
Texas Alcohol & Drug Testing Service,2024-08-16T02:01:58+05:30,$6 Millions,218 GB,"Finance data, HR data, PII records, PHI records, Test results, Mailboxes, Internal and external email correspondence",usa,healthcare
Lieberman LLP,2024-04-01T02:01:58+05:30,&lt;$5M Millions,150 GB,"Finance data, Employees, clients’ and customers’ confidential data, Business data, Clients’ and customers’ financials and PII, Internal and external email correspondence",usa,accounting
The Wiser Financial Group,2024-02-19T02:01:58+05:30,> $6 Millions,300 Gb,"Personal Data., Accounting, budget, financial data., Contract data and NDA’s., Customer audit reports., Files from CEO PC., Operational and business files., Email and msg archives.",usa,finance
National Publisher Services LLC,2024-06-25T02:01:58+05:30,$7.8 Millions,715 GB,"Finance data, HR data, Clients’, customers’, and partners’ private data, Trade & business data, PII records, Mailboxes & internal and external email correspondence",usa,media
"Mayer Antonellis Jachowicz & Haranas, LLP",2024-03-15T02:01:58+05:30,> $5 Millions,170 Gb,"Legal paper work., Client data., Financial data., Management email archives.",usa,lawyers
MAH Machine,2024-06-20T02:01:58+05:30,$20 Millions,227 GB,"Finance data, HR data, Partners’, vendors’, and customers’ data, Contracts and agreements, Engineering data, Images and drawings, Mailboxes with internal and external email correspondence",usa,manufacturing
Eric Rossi CPA LLC,2024-08-30T02:01:58+05:30,&lt;$5 Millions,910 GB,"Finance data, HR data, Incidents & casefiles, Court and litigations’ data, Exhibits, Clients’ PII & PHI records, Mailboxes, Internal and external email correspondence",usa,law
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Southwest Family Medicine Associates,2024-08-12T02:01:58+05:30,> $5 Millions,N/A,"HR data, Patients’ and partners’ confidential data, PII and PHI data, Test results and images, Internal and external email correspondence, Databases",usa,healthcare
Optometric Physicians of Middle Tennessee,2024-05-20T02:01:58+05:30,&lt;$5 Millions,1.5 TB,"Finance data, HR data, Patients’ PII and PHI, Biometric data, Contracts and confidential agreements, SQL databases",usa,medicine
Texas Retina Associates,2024-06-15T02:01:58+05:30,"$34,6 Million",N/A,N/A,usa,healthcare
Delta Pipeline,2024-06-06T02:01:58+05:30,> $15 Million,N/A,N/A,usa,"engineering, construction"
"Hypertension Nephrology Associates, P.C.",2024-02-27T02:01:58+05:30,&lt;$5M Millions,506 GB,"Finance data, HR data, PHI and PII data, Test results, Mailboxes and email correspondence, SQL databases",usa,medicine
"Robert D. Clements Jr Law Group, LLLP",2024-02-12T02:01:58+05:30,> $2 Millions,200 Gb,"Financial data., Folders of network users., File server data., Clients data., Legal paperwork.",usa,lawyers
First Professional Services,2024-03-07T02:01:58+05:30,&lt;$5M Millions,755 GB,"Finance data, HR data, Patients’ PII and PHI data, Mailboxes and external email correspondence, SQL databases",usa,"medicine, it"
Ladov Law Firm,2024-09-10T02:01:58+05:30,&lt;$5 Millions,105 GB,"Finance data, HR data, Casefiles, Court and litigations’ data, Exhibits, Clients’ PII data, Mailboxes and internal & external email correspondence",usa,"law, legal"
North Star Tax And Accounting,2024-01-18T02:01:58+05:30,$6 Millions,480 GB,"Finance data., Employees’ and clients’ confidential data., Business data., Internal email correspondence.",usa,"finance, tax"
Medall Healthcare Pvt Ltd.,2024-03-27T02:01:58+05:30,$53.3M Millions,1.5 TB,"Financial data, HR data, Patients’ and partners’ confidential data, PII and PHI data, Test results and images, Internal and external email correspondence, SQL databases",india,medicine
New York Home Healthcare,2024-03-07T02:01:58+05:30,> $8 Millions,N/A,"Personal Data., Accounting, budget, financial data., Contract data and NDA’s., Employees profiles.",usa,healthcare
"Wind Composite Services Group, LLC",2024-06-25T02:01:58+05:30,$20 Millions,412 GB,"Finance data, HR data, Local and international business data, Engineering data, Incidents, Mailboxes & internal and external email correspondence",usa,"electricity, oil, gas"
JE Owens & Company PA.,2024-04-18T02:01:58+05:30,$5 Million,N/A,"Personal Data., Finance data., Contract data and NDA’s.",usa,"mining, energy"
ICWI,2024-08-29T02:01:58+05:30,> $46 Millions,N/A,"Clients Personal Data., Employees Personal Data., Accounting Data.",jamaica,insurance
