company_name,address,date_of_attack,revenue,industry ,data_volume,data_description
RICOR GLOBAL LIMITED,"Arrow Works Birmingham Rd, Studley, West Midlands, B80 7AS, United Kingdom",18.12.2023,$29.5M,Manufacturing,248 GB,"Accounting, HR, Finance, Sales, Corporate Data"
CHUBB BULLEID,"10 Leigh Rd, Street, Somerset, BA16 0HA, United Kingdom",05.08.2024,$14M,Law Firms & Legal Services,362 GB,"Personal identifiable information, customer confidential information, litigation documents, corporate confidential data, NDA, contracts, employees and executives personal files, financial documents\statements, corporate correspondence, etc."
MCPHILLIPS,"Horton House Hortonwood 50, Telford, Shropshire, TF1 7FG, United Kingdom",10.09.2024,$40.8M,Commercial & Residential Construction,1.2 TB,"Personal Identifiable Information, customer information, engineering data\drawings\projects, employees\executives personal data, financial documents, contracts, corporate correspondence, etc."
DENKAI AMERICA,"8 John St, Hoosick Falls, New York, 12090, United States",05.08.2024,$18.1M,Manufacturing,80 GB,"Personal identifiable information, corporate confidential data, customers data, contracts, employees and executives personal files, financial documents\statements, corporate correspondence, etc."
"BACON UNIVERSAL COMPANY, INC.","918 Ahua St, Honolulu, Hawaii, 96819, United States",09.09.2023,$24.9M,Construction,28 GB,"Accounting, HR, Finance, UserData"
ROTOMAIL ITALIA SPA,"12/ab Strada Rivoltana Sp 14, Vignate, Lombardy, 20060, Italy",01.07.2023,$57M,IT and Software Solutions,8 GB,"Client data, Accounting, Contracts"
BIOCAIR,"Iconix One London Sawston Rd, Cambridge, Cambridgeshire, CB22 3EG, United Kingdom",01.07.2023,$152.3M,Biotechnology,92 GB,"Accounting, Directors, Human Resources"
CORNERSTONE PROJECTS GROUP,"4770 Bryant Irvin Ct Ste 200, Fort Worth, Texas, 76107, United States",19.12.2023,$9M,Construction,102 GB,"Accounting, Projects"
RANGER AMERICAN,"605 Marginal Lodi 65, San Juan, Puerto Rico, 00929, United States",10.09.2024,$52.9M,"Automobile Dealers, Security Services",218 GB,"Personal Identifiable Information, customer info, contracts, employees\executives personal and corporate data, accounting\payroll, corporate correspondence, etc."
COOP,"4 Englundav√§gen, Solna, 171 41, Sweden",12.01.2024,$66.1M,Food Services,257 GB,N/A
HI - CONE,"1140 W Bryn Mawr Ave, Itasca, Illinois, 60143, United States",29.01.2024,$27M,Food Services,650 GB,N/A
RIOMARINE INC,"5301 Polk St Bldg 12, Houston, Texas, 77023, United States",16.09.2024,$56M,Marine,490 GB,"Personal Identifiable Information, employees\executives personal data, engineering data\drawings\projects, customer information, financial documents, contracts, corporate correspondence, database backups etc."
STA,"10 Commerce Dr, Gaffney, South Carolina, 29340, United States",30.06.2024,$71.3M,Manufacturing,278 GB,"Personal identification documents, corporate data, drawings, financial documents, supplier\customer information, employee personal data, corporate and personal correspondence, etc."
JSS ALMONDS,"5600 Norris Rd, Bakersfield, California, 93308, United States",22.12.2023,$11.8M,Agriculture,350 GB,"Accounting, Docs"
UNIMARKETING,"102-1051 Talbot Blvd, Chicoutimi, Quebec, G7H 4B5, Canada",01.10.2023,$17.7M,Food Services,270 GB,Corporate Date
WESTERN WYOMING BEVERAGES,"PO Box 1336, Rock Springs, Wyoming, 82902, United States",05.08.2024,$59.2M,Grocery Retail,102 GB,"Database exports, Employee personal files, personal Identifiable Information, financial data, customer data, contracts, corporate correspondence, etc."
DAHL VALVE LIMITED,"2600 S Sheridan Way, Mississauga, Ontario, L5J 2M4, Canada",05.08.2024,$23.9M,Building Materials,80 GB,"Personal identifiable information, corporate confidential data, agreements, contracts, engineering data\drawings\projects, employees and executives personal files, financial documents\statements, corporate correspondence, database backups etc."
UNITEX HEALTHCARE LAUNDRY SERVICES,"565 Taxter Rd Ste 620, Elmsford, New York, 10523, United States",18.12.2023,$288.5M,Healthcare,134 GB,"Accounting, Sales"
SANYOSHOKAI,"6-14 Yotsuyahonshio-cho, Honshiocho, Tokyo, 160-0003, Japan",21.06.2024,$412.6M,Apparel & Accessories Retail,248 GB,"Personal identifying information, financial documents, customer data, engineering information, employee\executives personal files, corporate correspondence, etc."
ACFIN,"82 Av. El Gold Piso 9, Santiago, Santiago Metropolitan, Chile",19.05.2024,$25.1M,Finance,460 GB,"Client confidential data - agreements\reports etc., Personal identification Information (passports, DL, etc), financial statements\reports, executives personal data, security officer private photos and files, etc."
DBM GROUP,"300 Commerce Ste 200, Irvine, California, 92602, United States",28.12.2023,$43.6M,Business Services,2.4 TB,N/A
HUNDHAUSEN,"B√§ckerstr. 4, 57076 Siegen. Germany",10.07.2024,$150M,Commercial & Residential Construction,650 GB,"Corporate confidential data: projects, drawings, financial documents\payrolls, correspondence etc."
LARLYN,"540 Wharncliffe Rd S Ste 200, London, Ontario, N6J 2N4, Canada",17.06.2023,$256.8M,Real Estate,2.4 TB,N/A
THE WASSERTROM COMPANY,"4500 E Broad St, Columbus, Ohio, 43213, United States",10.07.2023,$850.6M,Food Services,35 GB,HUMAN RESOURCES
ISOMETRIX,"44 Milton Ave Ste 106, Alpharetta, Georgia, 30009, United States",22.07.2024,$45.8M,Business Services,126 GB,"Personal identifiable information, employees and executives personal files, financial data, customer information, contracts\NDA, corporate correspondence, software development data etc."
SCANSOURCE INC.,"6 Logue Ct, Greenville, South Carolina, 29615, United States",10.07.2023,$66.1M,IT Services,39 GB,"Accounting, HR, Secure documents"
NATCO,"346 W Cerritos Ave, Glendale, California, 91204, United States",17.06.2023,$38.5M,Business Services,111 GB,"Employees personal and corporate data, customer information, corporate correspondence, database backups, etc."
QUAKER WINDOWS & DOORS,"504 S Hwy 63, Freeburg, Missouri, 65035, United States",12.01.2024,$271.6M,Furniture Retail,2.4 TB,N/A
ESPACK EUROLOGISTICA,"4 Calle De O'donnell, Madrid, Madrid, 28009, Spain",04.06.2024,$17.3M,Business Services,11 GB,"Employees and executives personal and corporate data, financials, database exports, etc."
THE HURLEY GROUP,"55 Church St Ste 204, New Haven, Connecticut, 06510, United States",18.12.2023,$17.2M,Real Estate,63 GB,Corporate Data
"COASTAL CARGO COMPANY, LLC","3500 Terminal Drive New Orleans, LA, 70115, USA",18.04.2024,$36.6M,"Transportation, Logistics",3 GB,N/A
REA MAGNET WIRE,"3400 E Coliseum Blvd Ste 200, Fort Wayne, Indiana, United States",09.07.2024,$100M,Electronics,100 GB,"Personal identifiable information, employees personal files, corporate agreements, projects, financial documents, personnel data, corporate correspondence, etc."
CONTENDERBOATS,"1820 SE 38th Ave, Homestead, Florida, 33035, United States",28.03.2024,$51.8M,Marine ,65 GB,"Financial documents, Personal identification information. engineering documents and drawings, corporate correspondence, user personal folders, etc."
THOMASLLOYD,"427 Bedford Rd, Pleasantville, New York, 10570, United States",17.09.2023,$66.1M,Finance,2.4 TB,"Personal Identifiable Information, employees\executives personal data, corporate confidential documents, customer information, financial documents, corporate correspondence, database backups, etc."
MILLIMAGES,"88 Rue De La Folie M√©ricourt, Paris, Ile-de-France, 75011, France",07.07.2024,$12.6M,Broadcasting,147 GB,"Personal identifiable information, corporate confidential agreements, contracts, financial documents, personnel data, employees personal files, legal documents, corporate correspondence, etc."
MARFRIG GLOBAL FOODS,"1560 bloco 5 Av. Queiroz Filho Sala 301, Vila Hamburguesa, S√£o Paulo, 05319-000, Brazil",24.12.2023,$66.1M,Food Services,730 GB,"Legal, Finance"
ITALKRAFT,"2900 NW 77 Ct, Miami, Florida, 33122, United States",25.07.2023,$56.2M,Furniture Retail,83 GB,N/A
JAY GROUP,"700 Indian Springs Dr, Lancaster, Pennsylvania, 17601, United States",08.02.2024,$62.2M,Transportation & Logistics,270 GB,N/A
BARSCO,"4309 Beltwood Pkwy N, Dallas, Texas, 75244, United States",30.08.2023,$21.9M,HVAC,233 GB,User Shares
LEEKES,"Beanacre Rd, Melksham, Wiltshire, SN12 8AG, United Kingdom",22.12.2023,$95M,Furniture Retail,112 GB,"Departments, Directors, HR"
HORNSYLD KÿBMANDSGAARD,"28 N√∏rregade, Hornsyld, Region Midtjylland, 8783, Denmark",26.08.2023,$21.8M,Agriculture,70 GB,"Human Resources, Invoice"
CTG BRANDS,"123 Great Gulf Dr, Concord, Ontario, L4K 5V1, Canada",21.06.2024,$29.6M,Furniture,327 GB,"Personal identifiable information, corporate confidential data, corporate correspondence, employees and executives personal files, financial documents, customer information, database backups, etc."
GHIM LI,"264 George Australia Square St L 42 Ste 4201, Sydney, New South Wales, 2000, Australia",17.06.2023,$189.1M,Retail,88 GB,N/A
AGORAVITA,"1 Rue Paul Mespl√©, Toulouse, Midi Pyr√©n√©es, 31100, France",17.06.2023,$17.8M,"IT solutions, infrastructures and networks",6 GB,"Human Resources, Finance"
TRIDON,"21 Derby St, Silverwater, New South Wales, 2128, Australia",12.01.2024,$34M,Manufacturing ,175 GB,N/A
SCHNIEDER ELECTRIC,"35 rue Joseph Monier, Rueil Malmaison, 92500, France",13.03.2024,$66.1M,Manufacturing (Electronics),1.5 TB,"Accounting\treasury\taxes 150GB+, HR - payrolls\personal documents\dossiers 30GB+, Customer data - projects\contracts\drawings 350GB+, Engineering\R&amp;D\QA 130GB+, corporate correspondence 100GB+, employees' personal folders... Lots of IDs, customer private data, contracts, confidential drawings and various corporate documents!"
"SPUNCAST, INC.","PO Box 521, Watertown, Wisconsin, 53094, United States",20.12.2023,$22.8M,Manufacturing ,35 GB,"Accounting, HR, Project, Payroll, UserData"
"AERO DYNAMIC MACHINING, INC.","7472 Chapman Avenue, Garden Grove, California, 92841, United States",15.04.2024,$66.1M,Machine parts for Aerospace Industry,1.1 TB,"Engineering documents and drawings, confidential data and correspondence with various customers such as Boeing, SpaceX, Airbus etc., corporate correspondence, database backups\exports, employee personal documents and much more."
GEOTEK,"101 3rd St, Manchester, Kentucky, 40962, United States",23.12.2023,$35.5M,Geotechnical Engineering ,800 GB,"Corporate, HR"
APS,"34501 Femrite Dr, Madison, Wisconsin, 53716, United States",25.02.2024,$66.1M,IT Services ,54 GB,N/A
PEERLESS UMBRELLA,"427 Ferry St At, Newark, New Jersey, 07105, United States",17.06.2023,$23.2M,Manufacturing,131 GB,"Personal Identifiable Information, database backups, employees\executives personal and corporate data, customer data, contracts\projects\drawings, financial documents, corporate correspondence, etc."
DM CIVIL,"547 Bickley Rd, Maddington, Western Australia, 6109, Australia",29.09.2023,$34.4M,Construction,57 GB,"HR,Contracts"
REMKES,"8 Kweekweg, Epe, Gelderland, 8161PG, Netherlands",07.03.2024,$31.4M,Food Services,190 GB,N/A
GRUPA TOPEX,"ul. Pograniczna 2/4, 02-285 Warsaw, Poland",26.03.2024,$66.5M,Industrial Machinery & Equipment Manufacturer,638 GB,"Database exports, executive managers personal data, corporate data, financial documents, personal identification information, client information and much more."
GDI INTEGRATED FACILITY SERVICES INC.,"695 90th Ave, Lasalle, Quebec, H8R 3A4, Canada",12.01.2024,$66.1M,Facility Management,2.4 TB,N/A
DOLLMAR,"2 Via Bruno Buozzi 4, Caleppio Di Settala, Milano, 20090, Italy",05.06.2024,$28.3M,Chemicals & Related Products,127 GB,"Confidential corporate data, drawings, engineering files, Q&amp;A, personal identifying information, financial documents, corporate and personal correspondence, employee personal files, database backups, etc."
FIRST PRIORITY DKI,"114 Industrial Dr, Gilberts, Illinois, 60136, United States",21.06.2024,$22.9M,Consumer Services,111 GB,"Employees and executives personal data, contracts, reports, customer data, personal identification information, etc."
DILLARD DOOR,"788 East St Ste 102, Memphis, Tennessee, 38104, United States",28.12.2023,$8.5M,Furniture Retail,2.4 TB,N/A
DRM,"5324 N 134th Ave, Omaha, Nebraska, 68164, United States",13.05.2024,$266.6M,Hospitality and Food Services,175 GB,"Accounting\payroll documents, Personal Identifying information, HR documents, contracts, corporate correspondence, employees and executive managers personal folders, etc."
OOGP,"557 NE Westbrook Way, Grants Pass, Oregon, 9752, United States",08.02.2024,$11.4M,Restaurants,63 GB,N/A
SECURITY INSTRUMENT,"309 W Newport Pike, Wilmington, Delaware, 19804, United States",03.09.2024,$15.4M,Business Services,141 GB,"Corporate confidential data, Personal identifiable information, contracts, employees and executives personal files, financial documents, corporate correspondence, database exports\backups etc."
JMT,"1002 E Chatham St 474, Cary, North Carolina, 27511, United States",21.06.2024,$17.9M,Commercial & Residential Construction,331 GB,"Personal identification documents, employee personal files, confidential corporate data, projects, drawings, financial documents, supplier\customer information, &nbsp;corporate and personal correspondence, etc."
WEST CRAFT MANUFACTURING INC.,"506 Palestine Rd, Alto, Texas, 75925, United States",24.12.2023,$23.6M,Manufacturing ,140 GB,"Accounting, HR, Production"
BACHOCO,"401 Avenida Tecnologico, San Martin de Camargo, Guanajuato, 38010, Mexico",12.01.2024,$66.1M,Agriculture,130 GB,N/A
IMAGINATION,"25 Store St, London, Greater London, WC1E 7BL, United Kingdom",10.07.2023,$272.5M,Business Services,41 GB,Human Resources
ORTHUM ,Orthum Bau GmbH - Pfarrhofstra√üe 10 - 84076 Rainertshausen,20.12.2023,$25.1M,Healthcare,6 GB,"SQL, Scans, CorporateData, UserData"
PLYMOUTH TUBE,"&nbsp;29W150 Warrenville Rd, Warrenville, IL 60555, United States",20.03.2024,$137M,Manufacturing ,1.83 TB,"Accounting\treasury\taxes 250GB+, HR - payrolls\personal documents\dossiers 150GB+, Customer data - projects\contracts\drawings 90GB+, Engineering\R&amp;D\QA 120GB+, Legal documents 3GB+, corporate correspondence 20GB+, employees' personal folders... Hundreds of Personal Identifying information documents, executive managers personal and corporate documents, engineering database backups, etc."
LEVINE BAGADE HAN LLP,"2400 Geng Rd Ste 120, Palo Alto, California, 94303, United States",22.12.2023,$5M,Intellectual Property,443 GB,Clients
TRIMARAN CAPITAL PARTNERS,"1325 Avenue of the Americas Fl 25, New York City, New York, 10019, United States",30.07.2023,$5.8M,Solutions Investment,73 GB,Accounting
ASTRO,"The Astro Building Midas River Way, Harlow, Essex, CM20 2GJ, United Kingdom",19.12.2023,$19.2M,Furniture Retail,304 GB,"Sales, Marketing"
CUSTOM POWDER SYSTEMS,"2715 N Airport Commerce Ave, Springfield, Missouri, 65803, United States",22.12.2023,$17.4M,Manufacturing ,84 GB,"Accounting, HR, Scans"
ISC,"70 Borgergade, Esbjerg, Region Syddanmark, 6700, Denmark",19.12.2023,$60.1M,Renewable Energy,2.4 TB,N/A
HUNTER BUILDINGS,"14935 Jacintoport Blvd, Houston, Texas, 77015, United States",28.12.2023,$130.4M,Construction,2.4 TB,N/A
FULCRUM,"5751 Kroger Dr Ste 279, Fort Worth, Texas, 76244, United States",19.05.2024,$2.1M,IT Services and Consulting,57 GB,"Employees\executives personal data, corporate correspondence, agreements, private and corporate financial documents, personal identifying information, etc."
"MICHIGAN PRODUCTION MACHINING, INC.","16700 23 Mile Rd, Macomb, Michigan, 48044, United States",01.07.2023,$46.9M,Manufacturing (Automotive),5 GB,"Finance, Human Resources, CFO files"
MEDIMARKET,"2 Blvd Anspach 2, Brussels, Brussels Capital, Belgium",18.12.2023,$164M,Healthcare,2.4 TB,N/A
HAWA AG,"90 Wilerstrasse, Sirnach, Thurgau, 8370, Switzerland",01.07.2023,$24.4M,Furniture Retail,9 GB,"Projects, Drawings"
VERHELST GROUP,"30 Stationsstraat, Oudenburg, Flanders, 8460, Belgium",17.12.2023,$115.2M,Construction,125 GB,"Corporate Data, Finance, HR"
SPB,"P. I. Castilla Vial 6, Cheste, Valencia, 46380, Spain",18.02.2024,$81.4M,Manufacturing (Cleaning Products),706 GB,N/A
PARKSITE,"1563 Hubbard Ave, Batavia, Illinois, 60510, United States",18.02.2024,$452.7M,Building Solutions Partner,170 GB,N/A
FAMILY GUARDIAN,"East Bay &amp; Church Streets, Nassau, Bahamas",09.06.2024,$51.7M,Insurance,1.5 TB,"Hundreds of confidential client documents and personal identifying information (passports, utility bills, contracts), corporate correspondence, employee phones backups, executives personal data, database backups, etc."
NOVOBIT AG,"54 Knonauerstrasse, Cham, Zug, 6330, Switzerland",01.07.2023,$39.4M,Manufacturing (Fiber),23 GB,"Accounting, HR, Management"
BRIC PARTNERSHIP,"100 E Washington St Ste 220, Belleville, Illinois, 62220, United States",22.12.2023,$58.3M,Consulting and Advisory Services,157 GB,"Accounting, Projects"
